"id","region","district","municipality","parish","lat","lon","origin","alert_date","alert_hour","extinction_date","extinction_hour","firstInterv_date","firstInterv_hour","alert_source","village_area","vegetation_area","farming_area","village_veget_area","total_area","intentional_cause"
1713,"Entre Douro e Minho","Braga","Guimarães","São Martinho Sande","41º29'41.8667999999946''","8º21'47.8259999999979''","agriculture",2014-07-23 01:00:00,19:57:00,2014-07-23 01:00:00,20:45:00,2014-07-23 01:00:00,20:05:00,NA,0,0,0.01,0,0.01,0
1714,"-","Porto","Baião","União das freguesias de Santa Cruz do Douro e São Tomé de Covelas","41º7'38''","8º1'0''","firepit",2014-07-23 01:00:00,21:45:00,2014-07-23 01:00:00,22:50:00,2014-07-23 01:00:00,22:09:00,NA,0,0.005,0,0.005,0.005,0
1715,"Ribatejo e Oeste","Santarém","Tomar","Asseiceira","39º31'18.2999999999902''","8º22'18.1740000000001''","agriculture",2014-07-23 01:00:00,23:32:00,2014-07-24 01:00:00,00:58:00,2014-07-23 01:00:00,23:52:00,NA,0,0,0.0064,0,0.0064,1
1716,"Trás-os-Montes","Vila Real","Vila Real","Andrães","41º15'17.8164000000123''","7º39'42.6132000000008''","firepit",2014-07-24 01:00:00,01:15:00,2014-07-24 01:00:00,02:25:00,2014-07-24 01:00:00,01:33:00,NA,0,0.03,0,0.03,0.03,1
1717,"Ribatejo e Oeste","Santarém","Alpiarça","Alpiarça","39º11'29.4972000000024''","8º33'31.4388000000005''","agriculture",2014-07-24 01:00:00,10:23:00,2014-07-24 01:00:00,13:26:00,2014-07-24 01:00:00,10:25:00,NA,0,0,0.1577,0,0.1577,1
1718,"Entre Douro e Minho","Aveiro","Santa Maria da Feira","São João de Ver","40º57'19.0980000000098''","8º33'0.104400000001164''","firepit",2014-07-24 01:00:00,10:46:00,2014-07-24 01:00:00,11:40:00,2014-07-24 01:00:00,11:00:00,NA,0,0.02,0,0.02,0.02,1
1719,"Algarve","Faro","Silves","Silves","00:37:12.700","00:08:23.800","firepit",2014-07-24 01:00:00,11:53:00,2014-07-24 01:00:00,12:49:00,2014-07-24 01:00:00,11:59:00,NA,0,0.0295,0,0.0295,0.0295,0
1720,"-","Leiria","Leiria","União das freguesias de Monte Redondo e Carreira","39º46'26''","8º49'3''","firepit",2014-07-24 01:00:00,16:30:00,2014-07-24 01:00:00,16:50:00,2014-07-24 01:00:00,16:32:00,NA,0.002,0,0,0.002,0.002,1
1721,"Alentejo","Beja","Moura","São João Baptista","00:38:09.400","00:07:28.100","agriculture",2014-07-24 01:00:00,17:30:00,2014-07-24 01:00:00,19:00:00,2014-07-24 01:00:00,17:40:00,NA,0,0,0.3,0,0.3,0
1722,"Beira Interior","Guarda","Sabugal","Sortelha","40:19:38","07:12:54","firepit",2014-07-24 01:00:00,19:59:00,2014-07-24 01:00:00,20:50:00,2014-07-24 01:00:00,20:15:00,NA,0,0.08,0,0.08,0.08,0
1723,"-","Braga","Celorico de Basto","Caçarilhe","41:25:39","08:03:02","firepit",2014-07-25 01:00:00,00:34:00,2014-07-25 01:00:00,02:10:00,2014-07-25 01:00:00,00:50:00,NA,0,0.04,0,0.04,0.04,1
1724,"-","Porto","Baião","União das freguesias de Ancede e Ribadouro","41º10'51''","8º0'49''","firepit",2014-07-25 01:00:00,00:45:00,2014-07-25 01:00:00,02:30:00,2014-07-25 01:00:00,01:04:00,NA,0,0.01,0,0.01,0.01,0
1725,"Trás-os-Montes","Vila Real","Chaves","Anelhe","41:40:50","07:34:52","firepit",2014-07-25 01:00:00,09:53:00,2014-07-25 01:00:00,11:10:00,2014-07-25 01:00:00,10:00:00,NA,0,0.04,0,0.04,0.04,1
1726,"Beira Litoral","Viseu","Nelas","Senhorim","40º32'25.6380000000053''","7º47'56.6555999999987''","fire",2014-07-25 01:00:00,12:00:00,2014-07-25 01:00:00,13:24:00,2014-07-25 01:00:00,12:10:00,NA,0,1.1124,0,1.1124,1.1124,1
1727,"-","Bragança","Bragança","União das freguesias de Aveleda e Rio de Onor","41º52'16''","6º40'48''","firepit",2014-07-25 01:00:00,14:20:00,2014-07-25 01:00:00,15:03:00,2014-07-25 01:00:00,14:34:00,NA,0,0.19,0.15,0.19,0.34,0
1728,"Ribatejo e Oeste","Setúbal","Alcochete","Alcochete","38º44'40.1820000000021''","8º55'37.0559999999976''","agriculture",2014-07-25 01:00:00,16:20:00,2014-07-25 01:00:00,18:20:00,2014-07-25 01:00:00,16:26:00,NA,0,0,0.7045,0,0.7045,0
1729,"Trás-os-Montes","Viseu","Lamego","Vila Nova Souto DEl-Rei","41º3'59.2091999999877''","7º50'21.3504''","firepit",2014-07-25 01:00:00,16:31:00,2014-07-25 01:00:00,18:35:00,2014-07-25 01:00:00,16:40:00,NA,0,0.01,0,0.01,0.01,1
1730,"Entre Douro e Minho","Braga","Barcelos","Balugães","41º38'37.5899999999928''","8º38'19.1327999999996''","firepit",2014-07-25 01:00:00,16:52:00,2014-07-25 01:00:00,19:45:00,2014-07-25 01:00:00,17:09:00,NA,0,0.12,0,0.12,0.12,1
1731,"-","Viseu","Mangualde","União das freguesias de Tavares (Chãs, Várzea e Travanca)","40º33'5''","7º55'6''","firepit",2014-07-25 01:00:00,17:38:00,2014-07-25 01:00:00,20:35:00,2014-07-25 01:00:00,17:55:00,NA,0,0.12,0,0.12,0.12,0
1732,"Beira Litoral","Aveiro","Mealhada","Casal Comba","40:21:54","08:27:54","agriculture",2014-07-25 01:00:00,17:48:00,2014-07-25 01:00:00,20:10:00,2014-07-25 01:00:00,18:05:00,NA,0,0,0.116,0,0.116,0
1733,"Entre Douro e Minho","Aveiro","São João da Madeira","São João da Madeira","40º53'45.7908000000072''","8º29'50.7876000000009''","firepit",2014-07-25 01:00:00,21:52:00,2014-07-25 01:00:00,22:45:00,2014-07-25 01:00:00,22:11:00,NA,0,0.0015,0,0.0015,0.0015,1
1734,"Ribatejo e Oeste","Santarém","Tomar","São João Batista","39º35'49.1568000000115''","8º24'48.9059999999979''","firepit",2014-07-25 01:00:00,23:12:00,2014-07-26 01:00:00,00:59:00,2014-07-25 01:00:00,23:32:00,NA,0,0.062,0,0.062,0.062,1
1735,"Ribatejo e Oeste","Santarém","Tomar","Asseiceira","39º31'16.305600000012''","8º22'25.8059999999989''","firepit",2014-07-26 01:00:00,00:57:00,2014-07-26 01:00:00,02:20:00,2014-07-26 01:00:00,01:13:00,NA,0,0.062,0,0.062,0.062,1
1736,"Algarve","Faro","Lagos","São Sebastião","00:37:07.700","00:08:40.400","firepit",2014-07-26 01:00:00,11:41:00,2014-07-26 01:00:00,12:07:00,2014-07-26 01:00:00,11:49:00,NA,0,1e-04,0,1e-04,1e-04,0
1737,"Alentejo","Beja","Serpa","Pias","00:38:00.200","00:07:27.800","agriculture",2014-07-26 01:00:00,12:40:00,2014-07-26 01:00:00,19:00:00,2014-07-26 01:00:00,13:05:00,NA,0,0,55.5,0,55.5,0
1738,"-","Évora","Estremoz","Santa Maria","1900-01-01 14:51:35","00:07:36","agriculture",2014-07-26 01:00:00,14:47:00,2014-07-26 01:00:00,16:05:00,2014-07-26 01:00:00,14:54:00,NA,0,0,0.2492,0,0.2492,0
1739,"Entre Douro e Minho","Braga","Fafe","Armil","41º25'11.8811999999991''","8º11'34.4436000000032''","agriculture",2014-07-26 01:00:00,14:49:00,2014-07-26 01:00:00,16:00:00,2014-07-26 01:00:00,15:00:00,NA,0,0,0.2,0,0.2,0
1740,"Trás-os-Montes","Vila Real","Boticas","São Salvador de Viveiro","41:41:04","07:46:25","firepit",2014-07-26 01:00:00,15:24:00,2014-07-26 01:00:00,17:07:00,2014-07-26 01:00:00,15:40:00,NA,0.01,0,0,0.01,0.01,0
1741,"Beira Interior","Guarda","Mêda","Meda","40º57'40.7771999999898''","7º16'5.735999999999''","agriculture",2014-07-26 01:00:00,15:42:00,2014-07-26 01:00:00,17:45:00,2014-07-26 01:00:00,15:46:00,NA,0,0,0.01,0,0.01,0
1742,"Alentejo","Portalegre","Campo Maior","Nossa Senhora da Expectação","38º56'0.563999999996554''","7º1'54.1092000000011''","agriculture",2014-07-26 01:00:00,16:06:00,2014-07-26 01:00:00,21:00:00,NA,NA,NA,0,0,5.9731,0,5.9731,0
1743,"Alentejo","Beja","Beja","São João Baptista","37:59:28","07:52:06","agriculture",2014-07-26 01:00:00,16:30:00,2014-07-26 01:00:00,16:55:00,2014-07-26 01:00:00,16:41:00,NA,0,0,1.114,0,1.114,1
1744,"Trás-os-Montes","Vila Real","Boticas","Pinho","41:39:11","07:36:44","firepit",2014-07-26 01:00:00,16:52:00,2014-07-26 01:00:00,21:00:00,2014-07-26 01:00:00,17:02:00,NA,0.3,0,0,0.3,0.3,1
1745,"Beira Litoral","Coimbra","Oliveira do Hospital","Seixo da Beira","40º27'27.777599999992''","7º50'22.4304000000007''","firepit",2014-07-26 01:00:00,17:01:00,2014-07-26 01:00:00,18:00:00,2014-07-26 01:00:00,17:15:00,NA,0,0.03,0,0.03,0.03,1
1746,"Beira Litoral","Leiria","Ansião","Lagarteira","39º57'3.92400000000237''","8º23'35.2859999999968''","agriculture",2014-07-26 01:00:00,17:23:00,2014-07-26 01:00:00,19:45:00,2014-07-26 01:00:00,17:30:00,NA,0,0,1.6,0,1.6,1
1747,"Alentejo","Beja","Vidigueira","Pedrógão","38:10:06","07:39:07","agriculture",2014-07-26 01:00:00,18:05:00,2014-07-26 01:00:00,19:18:00,2014-07-26 01:00:00,18:35:00,NA,0,0,0.1085,0,0.1085,1
1748,"Trás-os-Montes","Bragança","Vimioso","Vimioso","41º34'56.4348000000058''","6º31'34.6836000000005''","firepit",2014-07-27 01:00:00,00:35:00,2014-07-27 01:00:00,01:40:00,2014-07-27 01:00:00,00:40:00,NA,0,0.01,0,0.01,0.01,1
1749,"Ribatejo e Oeste","Leiria","Caldas da Rainha","Carvalhal Benfeito","39º26'35.1816000000008''","9º2'41.9532000000028''","firepit",2014-07-27 01:00:00,01:25:00,2014-07-27 01:00:00,02:30:00,2014-07-27 01:00:00,01:39:00,NA,0,0.005,0,0.005,0.005,0
1750,"Entre Douro e Minho","Braga","Fafe","Quinchães","41º25'53.5835999999961''","8º8'8.25360000000089''","firepit",2014-07-27 01:00:00,11:49:00,2014-07-27 01:00:00,13:10:00,2014-07-27 01:00:00,11:49:00,NA,0,0.02,0,0.02,0.02,1
1751,"Trás-os-Montes","Bragança","Mogadouro","Vale de Porco","41º17'54.4704000000098''","6º42'40.2120000000003''","firepit",2014-07-27 01:00:00,12:37:00,2014-07-27 01:00:00,14:55:00,2014-07-27 01:00:00,12:51:00,NA,0,0.26,0.221,0.26,0.481,0
1752,"Ribatejo e Oeste","Setúbal","Montijo","Montijo","38º42'8.36279999999931''","8º58'32.5739999999972''","agriculture",2014-07-27 01:00:00,15:17:00,2014-07-27 01:00:00,15:50:00,2014-07-27 01:00:00,15:25:00,NA,0,0,0.2392,0,0.2392,0
1753,"Ribatejo e Oeste","Santarém","Abrantes","São João","39º27'36.5040000000096''","8º11'35.8151999999998''","firepit",2014-07-27 01:00:00,16:00:00,2014-07-27 01:00:00,17:05:00,2014-07-27 01:00:00,16:15:00,NA,0,0.0158,0,0.0158,0.0158,1
1754,"Ribatejo e Oeste","Lisboa","ODIVELAS","Canecas","38º49'4.60200000000611''","9º14'8.35440000000091''","firepit",2014-07-27 01:00:00,16:05:00,2014-07-27 01:00:00,16:45:00,2014-07-27 01:00:00,16:07:00,NA,0,0.02,0,0.02,0.02,0
1755,"Ribatejo e Oeste","Santarém","Santarém","Amiais de Baixo","39º26'6.26280000000975''","8º43'10.0811999999995''","firepit",2014-07-27 01:00:00,16:12:00,2014-07-27 01:00:00,17:05:00,2014-07-27 01:00:00,16:16:00,NA,0,0.023,0,0.023,0.023,1
1756,"-","Viseu","Viseu","União das freguesias de Couto de Baixo e Couto de Cima","40º36'40''","7º56'32''","firepit",2014-07-27 01:00:00,16:31:00,2014-07-27 01:00:00,19:20:00,2014-07-27 01:00:00,16:45:00,NA,0,0.06,0,0.06,0.06,0
1757,"Entre Douro e Minho","Braga","VIZELA","Caldas de Vizela_Sao Miguel","41º22'31.8936000000025''","8º18'33.1380000000014''","firepit",2014-07-27 01:00:00,16:43:00,2014-07-27 01:00:00,17:30:00,2014-07-27 01:00:00,16:45:00,NA,0,0.002,0,0.002,0.002,0
1758,"Ribatejo e Oeste","Leiria","Óbidos","Amoreira","39º21'42.1848000000119''","9º14'33.1979999999979''","agriculture",2014-07-27 01:00:00,17:03:00,2014-07-27 01:00:00,21:00:00,NA,NA,NA,0,0,0.28797,0,0.28797,1
1759,"Ribatejo e Oeste","Leiria","Óbidos","Vau","39º23'59.4959999999884''","9º13'15.1319999999988''","firepit",2014-07-27 01:00:00,17:40:00,2014-07-27 01:00:00,21:00:00,NA,NA,NA,0,0.10024,0,0.10024,0.10024,0
1760,"Alentejo","Beja","Moura","São João Baptista","00:38:09.300","00:07:25.600","fire",2014-07-27 01:00:00,17:46:00,2014-07-27 01:00:00,20:15:00,2014-07-27 01:00:00,17:55:00,NA,4,0,1.7,4,5.7,0
1761,"Alentejo","Évora","Alandroal","São Pedro Terena","38º36'57.2832000000057''","7º24'33.3000000000004''","agriculture",2014-07-27 01:00:00,18:03:00,2014-07-27 01:00:00,19:20:00,2014-07-27 01:00:00,18:15:00,NA,0,0,0.0857,0,0.0857,0
1762,"Beira Litoral","Viseu","Nelas","Senhorim","40º32'13.3368000000092''","7º45'41.0940000000014''","firepit",2014-07-27 01:00:00,19:10:00,2014-07-27 01:00:00,20:17:00,2014-07-27 01:00:00,19:21:00,NA,0,0.3469,0,0.3469,0.3469,1
1763,"-","Porto","Amarante","União das freguesias de Real, Ataíde e Oliveira","41º13'57''","8º8'59''","firepit",2014-07-27 01:00:00,21:25:00,2014-07-27 01:00:00,21:50:00,2014-07-27 01:00:00,21:27:00,NA,0,4e-04,0,4e-04,4e-04,0
1764,"Trás-os-Montes","Viseu","Lamego","Avões","41º6'59.3820000000017''","7º50'23.9208000000012''","firepit",2014-07-27 01:00:00,21:45:00,2014-07-27 01:00:00,23:25:00,2014-07-27 01:00:00,22:10:00,NA,0.05,0.1,0,0.15,0.15,1
1765,"Trás-os-Montes","Viseu","Lamego","Valdigem","41º7'35.6304000000068''","7º45'54.5939999999987''","firepit",2014-07-28 01:00:00,02:15:00,2014-07-28 01:00:00,03:28:00,2014-07-28 01:00:00,02:35:00,NA,0,0.05,0,0.05,0.05,1
1766,"Alentejo","Évora","Arraiolos","Igrejinha","00:38:45","07:56:22","agriculture",2014-07-28 01:00:00,06:10:00,2014-07-28 01:00:00,07:20:00,2014-07-28 01:00:00,06:36:00,NA,0,0,0.02,0,0.02,0
1767,"Beira Interior","Guarda","Mêda","Longroiva","00:40:57.290","00:07:11.730","firepit",2014-07-28 01:00:00,11:12:00,2014-07-28 01:00:00,11:42:00,2014-07-28 01:00:00,11:12:00,NA,0,0.1,0,0.1,0.1,0
1768,"Trás-os-Montes","Bragança","Macedo de Cavaleiros","Grijó de Vale Benfeito","41º30'34.0631999999971''","6º58'51.0636000000013''","agriculture",2014-07-28 01:00:00,11:26:00,2014-07-28 01:00:00,12:05:00,2014-07-28 01:00:00,11:30:00,NA,0,0,0.0061,0,0.0061,0
1769,"Ribatejo e Oeste","Santarém","Cartaxo","Cartaxo","39º10'1.96679999998821''","8º47'26.0987999999993''","agriculture",2014-07-28 01:00:00,13:10:00,2014-07-28 01:00:00,13:30:00,2014-07-28 01:00:00,13:16:00,NA,0,0,0.0019,0,0.0019,0
1770,"Ribatejo e Oeste","Setúbal","Seixal","Corroios","38º37'34.7808000000032''","9º9'15.8328000000017''","firepit",2014-07-28 01:00:00,14:20:00,2014-07-28 01:00:00,15:00:00,2014-07-28 01:00:00,14:32:00,NA,0,0.001,0,0.001,0.001,0
1771,"Entre Douro e Minho","Braga","Braga","Celeirós","00:41:30.374","00:08:27.399","agriculture",2014-07-28 01:00:00,14:57:00,2014-07-28 01:00:00,15:20:00,2014-07-28 01:00:00,15:05:00,NA,0,0,0.08,0,0.08,0
1772,"-","Évora","Estremoz","Santa Maria","1900-01-01 14:49:17","07:36:14","agriculture",2014-07-28 01:00:00,16:00:00,2014-07-28 01:00:00,17:05:00,2014-07-28 01:00:00,16:00:00,NA,0,0,0.0936,0,0.0936,0
1773,"Ribatejo e Oeste","Santarém","Santarém","Pernes","39º24'21.3408000000106''","8º41'8.52719999999692''","fire",2014-07-28 01:00:00,19:01:00,2014-07-28 01:00:00,20:21:00,2014-07-28 01:00:00,19:09:00,NA,0,1.4855,0,1.4855,1.4855,1
1774,"Trás-os-Montes","Bragança","Vila FLor","Freixiel","41º19'47.8524000000084''","7º14'57.0948''","fire",2014-07-28 01:00:00,21:25:00,2014-07-28 01:00:00,22:34:00,2014-07-28 01:00:00,21:35:00,NA,0.1,1.2,0,1.3,1.3,1
1775,"Trás-os-Montes","Bragança","Torre de Moncorvo","Açoreira","41º8'54.6468000000044''","7º5'9.79799999999997''","fire",2014-07-28 01:00:00,22:05:00,2014-07-28 01:00:00,23:15:00,2014-07-28 01:00:00,22:10:00,NA,0,2.7,0,2.7,2.7,0
1776,"-","Braga","Cabeceiras de Basto","Gondiães","00:41:33.837","00:07:49.458","fire",2014-07-28 01:00:00,22:08:00,2014-07-29 01:00:00,01:22:00,2014-07-28 01:00:00,22:25:00,NA,2.8,0.2,0,3,3,1
1777,"-","Aveiro","Arouca","União das freguesias de Canelas e Espiunca","40º58'46''","8º13'27''","fire",2014-07-28 01:00:00,22:14:00,2014-07-29 01:00:00,22:00:00,2014-07-28 01:00:00,22:35:00,NA,10,2.8,0,12.8,12.8,1
1778,"Beira Interior","Guarda","Mêda","Meda","00:40:58.130","00:07:15.150","agriculture",2014-07-28 01:00:00,22:22:00,2014-07-28 01:00:00,23:15:00,2014-07-28 01:00:00,22:25:00,NA,0,0,0.005,0,0.005,0
1779,"Beira Interior","Guarda","Mêda","Pai Penela","00:40:53.426","00:07:18.948","firepit",2014-07-28 01:00:00,23:19:00,2014-07-29 01:00:00,01:20:00,2014-07-28 01:00:00,23:30:00,NA,0,0.5,0,0.5,0.5,1
1780,"Entre Douro e Minho","Porto","Marco de Canaveses","Vila Boa de Quires","41º11'33.1907999999879''","8º10'44.4971999999986''","firepit",2014-07-28 01:00:00,23:28:00,2014-07-29 01:00:00,03:26:00,2014-07-28 01:00:00,23:45:00,NA,0,0.4244,0,0.4244,0.4244,0
1781,"Ribatejo e Oeste","Santarém","Tomar","São Pedro de Tomar","39º31'55.2108000000112''","8º22'45.0120000000008''","firepit",2014-07-28 01:00:00,23:33:00,2014-07-29 01:00:00,00:45:00,2014-07-28 01:00:00,23:48:00,NA,0,0.0212,0,0.0212,0.0212,1
1782,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Ribeira","41º46'6.01679999999988''","8º33'23.2848000000023''","firepit",2014-07-29 01:00:00,01:33:00,2014-07-29 01:00:00,02:32:00,2014-07-29 01:00:00,01:43:00,NA,0.02,0,0,0.02,0.02,0
1783,"Entre Douro e Minho","Porto","Baião","Valadares","41º8'47.8427999999934''","7º57'25.8552000000015''","agriculture",2014-07-29 01:00:00,09:00:00,2014-07-29 01:00:00,10:10:00,2014-07-29 01:00:00,09:10:00,NA,0,0,0.05,0,0.05,1
1784,"Entre Douro e Minho","Viseu","Resende","Barrô","41º7'33.3300000000082''","7º52'25.0355999999999''","firepit",2014-07-29 01:00:00,09:31:00,2014-07-29 01:00:00,11:08:00,2014-07-29 01:00:00,09:31:00,NA,0,0.025,0,0.025,0.025,1
1785,"Entre Douro e Minho","Viana do Castelo","Ponte de Lima","Gemieira","41º46'57.4932000000041''","8º31'41.6351999999969''","firepit",2014-07-29 01:00:00,10:15:00,2014-07-29 01:00:00,11:50:00,2014-07-29 01:00:00,10:30:00,NA,0.07,0.03,0,0.1,0.1,0
1786,"-","Castelo Branco","Fundão","União das freguesias de Póvoa de Atalaia e Atalaia do Campo","40º3'52''","7º26'2''","firepit",2014-07-29 01:00:00,10:16:00,2014-07-29 01:00:00,14:10:00,2014-07-29 01:00:00,10:30:00,NA,0.18,0.17,0,0.35,0.35,1
1787,"Alentejo","Évora","Mora","Pavia","00:38:56","07:58:10","agriculture",2014-07-29 01:00:00,12:05:00,2014-07-29 01:00:00,15:30:00,2014-07-29 01:00:00,12:35:00,NA,0,0,43.8,0,43.8,0
1788,"-","Braga","Vila Nova de Famalicão","União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures","41º27'45''","8º31'14''","firepit",2014-07-29 01:00:00,12:09:00,2014-07-29 01:00:00,14:00:00,2014-07-29 01:00:00,12:25:00,NA,0,0.03,0,0.03,0.03,0
1789,"Algarve","Faro","Monchique","Monchique","00:37:18.200","00:08:35.700","firepit",2014-07-29 01:00:00,12:18:00,2014-07-29 01:00:00,13:34:00,2014-07-29 01:00:00,12:26:00,NA,0,0.0018,0,0.0018,0.0018,0
1790,"Entre Douro e Minho","Aveiro","Santa Maria da Feira","São João de Ver","40º56'55.071599999996''","8º34'45.2136000000009''","firepit",2014-07-29 01:00:00,12:50:00,2014-07-29 01:00:00,14:15:00,2014-07-29 01:00:00,13:03:00,NA,0,0.16,0,0.16,0.16,1
1791,"Entre Douro e Minho","Aveiro","Oliveira de Azeméis","Pinheiro da Bemposta","40º47'0.488399999987905''","8º30'18.4175999999972''","firepit",2014-07-29 01:00:00,13:47:00,2014-07-29 01:00:00,15:58:00,2014-07-29 01:00:00,14:00:00,NA,0.076,0,0,0.076,0.076,1
1792,"Beira Litoral","Viseu","Viseu","Abraveses","40º40'42.7008000000001''","7º55'29.8092000000015''","firepit",2014-07-29 01:00:00,14:34:00,2014-07-29 01:00:00,15:30:00,2014-07-29 01:00:00,14:41:00,NA,0,0.02,0,0.02,0.02,0
1793,"Entre Douro e Minho","Porto","Maia","São Pedro Fins","41º14'36.2508000000025''","8º33'41.0508000000011''","fire",2014-07-29 01:00:00,14:55:00,2014-07-29 01:00:00,17:28:00,2014-07-29 01:00:00,15:10:00,NA,1.61,0.18,0,1.79,1.79,0
1794,"Beira Interior","Guarda","Trancoso","Torres","00:40:45.630","00:07:19.150","firepit",2014-07-29 01:00:00,15:04:00,2014-07-29 01:00:00,15:52:00,2014-07-29 01:00:00,15:04:00,NA,0.1,0,0,0.1,0.1,0
1795,"-","Beja","Odemira","São Salvador","00:37:38.300","00:08:34.200","agriculture",2014-07-29 01:00:00,15:26:00,2014-07-29 01:00:00,17:00:00,2014-07-29 01:00:00,15:39:00,NA,0,0,0.3119,0,0.3119,0
1796,"Ribatejo e Oeste","Santarém","Tomar","Além da Ribeira","39º39'58.7772000000092''","8º24'0.702000000000282''","firepit",2014-07-29 01:00:00,15:35:00,2014-07-29 01:00:00,17:07:00,2014-07-29 01:00:00,15:42:00,NA,0,8e-04,0,8e-04,8e-04,0
1797,"Alentejo","Évora","Vendas Novas","Landeira","38:36:5,11590769747272E-12","00:08:36","fire",2014-07-29 01:00:00,16:21:00,2014-07-29 01:00:00,22:49:00,2014-07-29 01:00:00,16:42:00,NA,17.17,0,0,17.17,17.17,0
1798,"Beira Litoral","Aveiro","Ílhavo","Gafanha do Carmo","40º35'39.3971999999934''","8º44'16.6740000000031''","firepit",2014-07-29 01:00:00,17:12:00,2014-07-29 01:00:00,20:21:00,2014-07-29 01:00:00,17:20:00,NA,0.0228,0,0,0.0228,0.0228,0
1799,"Beira Litoral","Aveiro","Ílhavo","Gafanha da Nazaré","40º38'2.38199999999551''","8º43'9.87959999999688''","firepit",2014-07-29 01:00:00,17:21:00,2014-07-29 01:00:00,18:43:00,2014-07-29 01:00:00,17:30:00,NA,0,0.0546,0,0.0546,0.0546,1
1800,"Entre Douro e Minho","Viseu","Resende","Paus","41º4'35.4648000000003''","7º54'51.0623999999988''","firepit",2014-07-29 01:00:00,21:29:00,2014-07-29 01:00:00,23:00:00,2014-07-29 01:00:00,21:40:00,NA,0,0.05,0,0.05,0.05,0
1801,"Trás-os-Montes","Vila Real","Alijó","Vale de Mendiz","41º13'18.6240000000009''","7º32'0.185999999999993''","firepit",2014-07-29 01:00:00,21:48:00,2014-07-29 01:00:00,23:00:00,2014-07-29 01:00:00,22:03:00,NA,0,0.01,0,0.01,0.01,1
1802,"Ribatejo e Oeste","Setúbal","Montijo","Montijo","38º42'8.36279999999931''","8º58'32.5739999999972''","agriculture",2014-07-29 01:00:00,22:15:00,2014-07-29 01:00:00,23:00:00,2014-07-29 01:00:00,22:24:00,NA,0,0,0.015,0,0.015,1
1803,"Beira Litoral","Viseu","Oliveira de Frades","Reigoso","40º40'43.0391999999898''","8º16'38.7443999999989''","firepit",2014-07-29 01:00:00,22:21:00,2014-07-29 01:00:00,23:25:00,2014-07-29 01:00:00,22:21:00,NA,0,0.001,0,0.001,0.001,1
1804,"Alentejo","Beja","Castro Verde","Santa Bárbara de Padrões","00:37:38.400","07:58:59","agriculture",2014-07-29 01:00:00,22:25:00,2014-07-29 01:00:00,23:44:00,2014-07-29 01:00:00,22:46:00,NA,0,0,0.35,0,0.35,1
1805,"Trás-os-Montes","Bragança","Freixo de Espada à Cinta","Mazouco","41º8'24.1835999999989''","6º47'26.9447999999993''","fire",2014-07-29 01:00:00,22:37:00,2014-07-30 01:00:00,05:05:00,2014-07-29 01:00:00,22:45:00,NA,0,78.6,0,78.6,78.6,0
1806,"Entre Douro e Minho","Porto","Maia","São Pedro Fins","41º14'50.6436000000127''","8º33'14.7312000000025''","firepit",2014-07-30 01:00:00,00:10:00,2014-07-30 01:00:00,02:40:00,2014-07-30 01:00:00,01:40:00,NA,0.06,0.01,0,0.07,0.07,0
1807,"Ribatejo e Oeste","Santarém","Vila Nova da Barquinha","Atalaia","39º28'15.1211999999941''","8º27'41.6699999999994''","firepit",2014-07-30 01:00:00,01:42:00,2014-07-30 01:00:00,03:01:00,2014-07-30 01:00:00,01:50:00,NA,0,0.0229,0,0.0229,0.0229,1
1808,"Beira Litoral","Viseu","Tondela","Mosteiro de Fráguas","40:34:41","08:03:46","firepit",2014-07-30 01:00:00,02:39:00,2014-07-30 01:00:00,04:55:00,2014-07-30 01:00:00,02:55:00,NA,0.85,0,0,0.85,0.85,1
1809,"Ribatejo e Oeste","Santarém","Tomar","Asseiceira","39º31'16.305600000012''","8º22'25.8059999999989''","firepit",2014-07-30 01:00:00,02:39:00,2014-07-30 01:00:00,04:12:00,2014-07-30 01:00:00,02:47:00,NA,0,0.0738,0,0.0738,0.0738,1
1810,"Alentejo","Beja","Moura","Santo Agostinho","00:38:07.700","00:07:25.100","agriculture",2014-07-30 01:00:00,03:02:00,2014-07-30 01:00:00,04:00:00,2014-07-30 01:00:00,03:10:00,NA,0,0,0.1,0,0.1,0
1811,"-","Braga","Fafe","União de freguesias de Ardegão, Arnozela e Seidões","41º23'25''","8º7'8''","firepit",2014-07-30 01:00:00,03:33:00,2014-07-30 01:00:00,05:20:00,2014-07-30 01:00:00,03:50:00,NA,0.4,0.4,0,0.8,0.8,0
1812,"-","Porto","Marco de Canaveses","Penhalonga e Paços de Gaiolo","41º11'38''","8º7'58''","firepit",2014-07-30 01:00:00,08:15:00,2014-07-30 01:00:00,13:15:00,2014-07-30 01:00:00,09:00:00,NA,0,0.1,0,0.1,0.1,0
1813,"Beira Litoral","Viseu","Vouzela","Campia","40º40'49.7604000000052''","8º12'31.7771999999979''","firepit",2014-07-30 01:00:00,08:33:00,2014-07-30 01:00:00,10:05:00,2014-07-30 01:00:00,08:44:00,NA,0,0.01,0,0.01,0.01,0
1814,"Beira Interior","Castelo Branco","Fundão","Lavacolhos","40º7'47.4132000000071''","7º37'41.7360000000001''","agriculture",2014-07-30 01:00:00,11:07:00,2014-07-30 01:00:00,11:28:00,2014-07-30 01:00:00,11:15:00,NA,0,0.02,0.078,0.02,0.098,0
